product_name,unit,quantity,vol,value
HEMANI Sesame Oil Bottle,Fl Oz,1000,1000,35.0
Community Coffee Pecan Praline Flavored Ground Coffee,Ounce,36,12,36.0
"Strawflower (Everlasting, Helichrysum) Tea (Loose)",Ounce,4,4.0,4.0
Walden Farms Barbecue Sauces Hickory Smoked,Ounce,12,1,12.0
Spud Bar,Count,18,18,18.0
Angie's BOOMCHICKAPOP Sweet & Salty Kettle Corn Popcorn,Ounce,12,7,84.0
Strawberry Decaf Black Tea (Deluxe Blend),Count,50,50,50.0
Cheez-It Grooves Crunchy Cheese Crackers,Ounce,17,17.0,17.0
Keto snack mix,Ounce,2,24.0,24.0
Purple Yogurt Covered Raisins by It's Delish,Count,1,1.0,1.0
TABASCO Brand Buffalo Style Sauce,Fl Oz,8.6,8.6,8.6
Betty Crocker Hamburger Helper Chili Macaroni,Ounce,5.2,5.2,5.2
RITZ Cheese Crispers,Ounce,6,7,42.0
DeLallo Acini di Pepe Pasta,Ounce,1,48.0,48.0
Garden of Eatin' Tortilla Chips Wicked Hot,Ounce,1,5.5,5.5
ASPIRE® Mango Lemonade,Fl Oz,144,144,144.0
"Gerber Baby Food, 2nd Foods, Apple Banana with Oatmeal",Ounce,8,32.0,32.0
Sweet Sue Chunk White Chicken,Count,6,5,6.0
Smucker's Apricot Preserves,Count,1,1.0,1.0
Molinari & Sons San Francisco Italian Dry Salami,Ounce,3,16,48.0
DaVinci Gourmet Classic Caramel Pecan Syrup,Fl Oz,25.4,101.6,101.6
Organicville - Organic Ketchup,Count,24,24,24.0
"Guayaki Yerba Mate, Clean Energy Drink Alternative",Fl Oz,15.5,15.5,15.5
Coffee-Mate Coffee Creamer Zero Sugar Hazelnut,Ounce,10.2,61.2,61.2
Walkers Shortbread Fingers,Ounce,33.6,1,33.6
Colgin Liquid Smoke,Fl Oz,3,4,12.0
V8 +Energy Healthy Energy Drink,Fl Oz,6,8,48.0
Folgers Classic Roast Ground Coffee,Ounce,11.3,11.3,11.3
34 Degrees Crisps,Ounce,4.5,27.0,27.0
SPICED Chicken Seasoning Blend,Ounce,12,12.0,12.0
Sadaf Tikka Masala Seasoning,Ounce,2,2.0,2.0
Soji,Pound,2,908,2.0
Gerber 2nd Foods,Count,2,4,2.0
Gourmet Cinnamon Caramel Popcorn by Its Delish,Ounce,8,1.0,1.0
Gold Medal Pappy's Kettle Corn Popcorn Mix,Count,6,3.25,6.0
Q&Q Fideo Vermicelli Pasta,Ounce,48,5,240.0
Rosarita Vegetarian Refried Beans,Ounce,48,16,48.0
Nature Valley Trail Mix Bars,Ounce,7.4,,
Deli Express Mega Deli Ham and Cheese Sandwich,Fl Oz,8,6,48.0
"Don Francisco's, Hawaiian Hazelnut Ground Coffee",Ounce,12,36.0,36.0
Bear Fruit Roll Apple,Ounce,0.7,0.7,0.7055
Suncore Foods Organic White Chia Seeds,Ounce,1,15.0,1.0
Tummypops Peppermint Variety Pack,Ounce,21,4.59,4.59
Osem Israeli Pearl Couscous,Ounce,12,8.8,105.6
Rice-A-Roni Original Long Grain & Wild Rice,Ounce,4.3,12,51.6
NY SPICE SHOP Royal Blue Sixlets Candy Bulk,Ounce,16,16,16.0
Goya Foods Mojo Criollo Marinade,Fl Oz,12,294.0,294.0
G-Sweetz Monk Fruit–Stevia & Allulose All Purpose Sweetener,Ounce,5,80.0,80.0
AROMEO 4 Blush Pink Roses,None,4,nan,nan
Oatly Oatmilk Full Fat,Ounce,32,32,32.0
