product_name,unit,quantity,vol,value
"Mangini, Italian Citrus Blend Hard Candies",Ounce,2.2,2.2,35.2
Milwaukee Abrasive Cut-Off Machine,Count,1,1,1.0
"Wilderness Poets, Almond Butter",Ounce,16,16.0,16.0
"Chasteberry, Black Cohosh, Cramp Bark, and More Formula Tea",Ounce,4,8.0,8.0
"La Tourangelle, White Truffle Oil",Fl Oz,8.4,8.4,8.4
"Mars SNICKERS, TWIX, MILKY WAY & 3 MUSKETEERS Minis",ounce,16.0,16.0,16.0
Heinz Salsa Single Serve Packet,Count,60,2,60.0
Beanos Dressing Submarine Original,Ounce,8,16.0,16.0
Frank's RedHot Gameday Wing Sauce,Count,3,1,3.0
Sun-Maid California Dried Raisins,Ounce,2,1.5,12.0
"Mio Liquid Water Enhancer, Lemonade",Fl Oz,1,8.16,1
Mighty Monkey Short Bread Cookies,Ounce,1,7.4,7.4
Monograno Felicetti Kamut Chiocciole Pasta,Count,8,17.6,8.0
"Mezzetta Napa Valley Bistro Pasta Sauce, Mushroom & Porcini",Count,6,25,6.0
Run Gum,Count,24,0,24.0
Mrs. Cubbison's Cheese Crisps Everything Seasoned,Ounce,1,1.98,1.98
Sanding Sugar Red,Ounce,1,7,5.4
Award Winning Organic Date Syrup,Ounce,12,36.0,12.0
Wicked Joe Organic Bella Maria Medium Roast Ground Coffee,Ounce,12,12,72.0
"Langers, Juice Cocktail Cranberry Blood Orange",Fl Oz,64,64.0,64.0
Country Archer Mini Beef Jerky Sticks,Count,36,0.5,36.0
"Black Rifle Coffee Company RTD (Caramel Vanilla, 15 Fl Oz (Pack of 12))",Fl Oz,12,15,180.0
Jonny Almond Nut Company Origin Cinnamon,Ounce,5,5,5.0
Gourmanity Cocktail Maraschino Cherries,Ounce,1,14.1,14.1
COFFEE-MATE French Vanilla Sugar Free Powder Coffee Creamer,Ounce,10.2,10.2,30.6
Edward & Sons Bouillon Cubes Not-Beef,Ounce,3.1,3.1,6.2
Napa Valley Naturals Organic Extra Virgin Olive Oil,Ounce,50.8,50.8,50.8
Cocomels Original Coconut Milk Caramels,Ounce,3,3.5,10.5
St. Patrick's Day Foil-Wrapped Chocolate Coins,Count,75,75,75.0
Food to Live Organic Brazil Nuts,Ounce,5,80.0,80.0
Maxwell House French Roast Dark Roast Ground Coffee,Ounce,25.6,25.6,51.2
Cola Chamomile Tea,Ounce,8,24.0,24.0
Apricot Brandy Dandelion Root Tea,Count,25,25,25.0
Jovial Whole Grain Brown Rice Egg Tagliatelle Pasta,Ounce,9,54.0,54.0
Almond Breeze Dairy Free Almondmilk Blend,Fl Oz,32,12,384.0
Familia Swiss Muesli Cereal,Ounce,6,12,72.0
Alessi Lenticchie Sicilian Lentil Soup,Fl Oz,6,6,6.0
GERBS Raw Pumpkin Seed Kernels,Ounce,4,64.0,64.0
Werther's Original Pumpkin Spice Soft Caramels,Ounce,1,8.57,1
Naturejam 100 Count Mary Personalized Name Peppermints,Count,100,100.0,100.0
Spectrum Naturals Coconut Oil Spray,Count,6,6.0,6.0
Conchita Fancy Tomato Sauce,Ounce,48,8,384.0
Davidson Organic Tea,Count,8,32,8.0
Sweet Leaf Tea Pet Peach,Fl Oz,16,16.0,16.0
Food to Live Organic Short Grain White Sushi Rice,Ounce,1,48,48.0
Sue Bee Clover Honey Squeeze Bears,oz,24,96.0,96.0
YEHUDA Egg Matzo,Ounce,10.5,10.5,10.5
Luvafoodie Smoke House Lovers Spice Blend,Ounce,1,1,1.0
The Original Bag of Poo,Ounce,1,0.5,1.0
Good & Gather Sea Salt Roasted Whole Cashews,Ounce,30,30.0,30.0
ALESSI PESTO DI LIGURIA,Count,4,0,4.0
PAPYSUS Napkin Print Floral,Count,1,1,1.0
Pamela's Products Figgies & Jammies? Extra Large Cookies Gluten-Free Blueberry & Fig,Fl Oz,9,12,108.0
Miracle Rice,None,1,8,
Fishing Themed Individually Wrapped Lollipops,Ounce,1,7.0,7.0
Best Botanicals Sheep Sorrel Extract,Fl Oz,1,1,1.0
Maybelline New York Fit Me Matte + Pore Less Foundation,Fl Oz,1,1,1.0
Smucker's Natural Peanut Butter,Ounce,16,16,96.0
Ultima Replisher Daily Electrolyte Powder Drink Mix – Grape,Ounce,2.4,2.4,2.4
Heinz HomeStyle Country-Style Sausage Gravy,Fl Oz,12,12,12.0
True Organic Ceylon Cloves,Ounce,3.5,0,3.5
Seattle Chocolates - Crunchy Peanut Butter Chocolate Bar,Ounce,2.5,2.5,2.5
Special Tea Chocolate Loose Black Tea,ounce,3,3.0,3.0
Cowtown The Squeal Hog Rub,Ounce,6.5,6.5,6.5
Happy Tot Organic Stage 4 Super Foods Pears Blueberries & Beets + Super Chia,Count,8,4.22,8.0
75% Pure Vinegar,Fl Oz,384,12,384.0
Weber Cowboy Seasoning & Rub,Ounce,7.25,7.25,7.0
From You Flowers - Patriotic Belgian Chocolate Covered Strawberries,Count,1,1.0,1.0
Bean Thread Saifun,Count,12,12,12.0
Fire & Smoke Society Big Gobbler Brown Gravy Mix,Ounce,12,1,12.0
"CELSIUS ESSENTIALS, Sparkling Dragonberry",Count,12,16,12.0
Orrington Farms Slow Cookers Pot Roast Seasoning,Count,12,2.5,12.0
Crystal Light Wild Strawberry,Ounce,120,13.2,13.2
Bigelow Salted Caramel Black Tea,Count,108,108,108.0
Paradiso Peach Tea (Loose),Ounce,4,8.0,8.0
Bone Suckin' Sauce Mustard,Ounce,12,12.0,12.0
Nestle Nestum Infant Cereal,Ounce,8,10.6,84.8
Starbucks Refreshers Peach Passion Fruit Sparkling Juice Blend,Count,1,12,1.0
Wilton Sprinkle Pouch-Lightbulb,Count,1,1,1.0
Humm Mocktail Kit Gift Set,Count,1,1.0,1.0
Ghirardelli Caramel Sauce,Ounce,16,192.0,192.0
Seven Sundays Organic Muesli Cereal,Ounce,32,32.0,32.0
Easy Pour Bottle Caesar Dressing,Count,6,32,6.0
Mellowcreme Pumpkins Candy,Ounce,20,20,20.0
KIND Almond & Coconut,Count,72,1.4,72.0
Melitta #4 Cone Coffee Filters,Count,480,480.0,480.0
Propel Powder Packets Lemon With Electrolytes,Ounce,10,0.08,0.9
Sprite Soda Syrup Concentrate,Fl Oz,640,640,640.0
Ocean Spray Cran Grape Juice Drink,Fl Oz,101.4,202.8,202.8
Crystal Light Decaf Lemon Iced Tea Natural Flavor Drink Mix,Count,22,0,22.0
Bull's Eye Hickory Smoked Barbecue Sauce,Ounce,180,180,108.0
Stash Tea Pomegranate Raspberry Green Tea,Count,18,18,18.0
Organic Stores Gift Baskets Simply Sugar Free Gift Basket,Count,1,1.0,1.0
SunButter Organic Sunflower Seed Spread,Ounce,16,16.0,16.0
Harissa Condiment,Ounce,120,1,4.2
BIGS Sunflower Seeds,Ounce,5.35,5.35,5.35
Stonewall Kitchen Holiday 2023 Cheese Pairing Gift Set and Gift Box,Count,1,1.0,1.0
Wicked Joe Organic Coffee Wicked Italian,Ounce,12,12,12.0
Raspberry Cream Soda Chamomile Tea,Ounce,4,8.0,8.0
Patel's Butter Chicken Cooking Sauce,Ounce,2,100,7.0
Naturejam Estafiate,Ounce,8,0.8,8.0
Betty Crocker Decorations Nonpareil,Ounce,2,12,12.0
Pomegranate Yerba Mate Tea,Count,50,1,50.0
Coricidin HBP Nighttime Multi-Symptom Cold Liquid Cherry,Fl Oz,12,12,12.0
Honey Bunches of Oats,Fl Oz,192,192,192.0
Starbucks Dark Roast Ground Coffee — French Roast — 100% Arabica — 1 bag (20 oz.),Ounce,20,20,20.0
Pain is Good - Spicy Honey Habanero Screaming Wing Sauce,Ounce,13.5,13.5,13.5
Smackalicious Seafood Sauce (Spicy) with Lemon Rain,Ounce,12,1,12.0
Bakell - Neon Orange Tinker Dust,Count,1,1.0,1.0
Organicville Miso Ginger Vinaigrette & Marinade,oz,8,8.0,8.0
Beech-Nut Baby Food Jars,Count,12,12,12.0
Post Cocoa Pebbles,Ounce,2,11.2,22.0
Manischewitz Matzo Ball and Soup Mix,Ounce,4.5,13.5,13.5
Voss Artesian Sparkling Water,Fl Oz,27.05,27.05,27.05
Organic Maple Syrup Extract,Ounce,8,8.0,8.0
Durkee Sandwich and Salad Sauce,Fl Oz,12,10,120.0
Date Nut Black Tea,Ounce,4,8,8.0
Tadin Seven Blossoms Herbal Tea Blend,Count,6,144,144.0
Aloevine Pomegranate Flavored Aloe Drink,Ounce,20,16.9,338.0
Pumpkin Pie Black Tea,Count,50,50,50.0
Exotic Tropical Medley Black Tea,Count,150,150,150.0
Blue Diamond Almonds Smokehouse 6 Oz Pack of 2,Ounce,2,6,12.0
Gerber Snacks for Baby Lil Crunchies,Ounce,6,1.48,8.9
"Kens Steak House, Dressing Roasted Sesame Marinade",Fl Oz,16,16,16.0
Reese's Thins Peanut Butter Cups,Ounce,1,1,5.8
Organic Way Juniper Berries Whole,Ounce,4,1,4.0
"Plum Organics Stage 2 Organic Baby Food, Strawberry, Banana & Granola",Ounce,3.5,3.5,3.5
Hormel Chili with Beans,Ounce,15,15,45.0
Fresh Raw In-shell Whole Brazil Nuts,Ounce,2,16.0,16.0
Candy Envy - Spring Rock Candy Sugar Sticks,Count,36,36.0,36.0
Olina's Bakehouse Poppy Seed Wafer Crackers,Ounce,12,3.5,42.0
The Spice Lab Spicy Sun Dried Tomato Italian Seasoning Spice,Count,1,1.0,1.0
WHYZ Instant Black Tea Powder,Ounce,4.5,4.5,4.5
Hazelnut White Tea,Count,150,150,150.0
Sencha Tea (Loose),Ounce,8,16.0,16.0
Clif Builder's Chocolate Peanut Butter Bars,Count,12,12,12.0
Jolly Rancher Tropical Fruit Flavored Hard Candy,Ounce,6.5,,
Grumpy Butcher Large Ribeye Steaks,Ounce,16,56.0,56.0
Utz Sourdough Specials Pretzels,Ounce,28,28.0,28.0
Strawberries & Creme Jello Shot Mix,Ounce,6.78,6.78,6.78
Bionaturae Spaghetti Pasta Noodles - Sourdough Pasta,Ounce,12,24,24.0
2 Gringos Chupacabra Salsa Verde,Fl Oz,16,16,16.0
